num_edges,density,avg_degree,percent_endpoints,energy,second_eigen,unique_eigen,spectral_rad,link_impurity,neighborhood_impurity,avg_closeness,avg_clustering,small_worldness,eccentricity,diameter,radius,%central_nodes,near_native
233,0.096480331,6.657142857,0,(466+0j),(6.17856971718+0j),70,(8.22118091129+0j),0.489270386,3.257142857,0.31135967,0.265910122,1.872901804,5.671428571,5,6,0.471428571,1
246,0.101863354,7.028571429,0,(492+0j),(6.72242906148+0j),70,(8.44342580221+0j),0.483739837,3.4,0.326695235,0.275485784,2.328581262,5.542857143,5,6,0.428571429,1
236,0.097722567,6.742857143,0.014285714,(472+0j),(6.22878131136+0j),70,(8.35806178815+0j),0.483050847,3.257142857,0.319101399,0.275288204,2.047787923,5.685714286,5,6,0.385714286,1
237,0.098136646,6.771428571,0,(474+0j),(6.27802559972+0j),70,(8.37976596585+0j),0.493670886,3.342857143,0.313408512,0.254565038,2.03262547,5.842857143,5,6,0.457142857,1
236,0.097722567,6.742857143,0,(472+0j),(6.09875510223+0j),70,(8.78849191492+0j),0.491525424,3.314285714,0.329014798,0.289296101,2.637994191,5.342857143,5,6,0.428571429,1
241,0.099792961,6.885714286,0,(482+0j),(6.47370387758+0j),70,(7.97573744436+0j),0.506224066,3.485714286,0.328021746,0.282942692,1.815687885,5.257142857,5,6,0.285714286,1
219,0.09068323,6.257142857,0.014285714,(438+0j),(6.39780670449+0j),70,(7.49026545932+0j),0.484018265,3.028571429,0.302303519,0.249689755,1.520269153,6.742857143,5,6,0.285714286,1
234,0.09689441,6.685714286,0,(468+0j),(6.18917289838+0j),70,(8.28803090954+0j),0.495726496,3.314285714,0.312784079,0.264393939,1.853482493,5.671428571,5,6,0.471428571,1
243,0.100621118,6.942857143,0,(486+0j),(6.33446216842+0j),70,(8.71598244627+0j),0.477366255,3.314285714,0.324524552,0.297703566,1.997307687,5.528571429,5,6,0.514285714,1
237,0.098136646,6.771428571,0,(474+0j),(6.31785621751+0j),70,(8.3258483293+0j),0.493670886,3.342857143,0.313550692,0.282862296,1.971329999,5.642857143,5,6,0.471428571,1
228,0.094409938,6.514285714,0,(456+0j),(6.00412412243+0j),70,(7.69715065464+0j),0.473684211,3.085714286,0.3191179,0.273591012,2.121007527,5.428571429,5,6,0.442857143,1
233,0.096480331,6.657142857,0,(466+0j),(6.31558867998+0j),70,(7.31435002329+0j),0.497854077,3.314285714,0.316288165,0.279297052,2.209136875,5.357142857,5,6,0.342857143,1
230,0.095238095,6.571428571,0,(460+0j),(5.96671385659+0j),70,(8.20361111439+0j),0.486956522,3.2,0.309601305,0.261386312,1.842315196,5.7,5,6,0.471428571,1
238,0.098550725,6.8,0.014285714,(476+0j),(6.68292546819+0j),70,(7.83014405051+0j),0.491596639,3.342857143,0.321983427,0.276218306,1.734013881,5.942857143,5,6,0.414285714,1
229,0.094824017,6.542857143,0,(458+0j),(6.28604147302+0j),70,(8.26617284133+0j),0.484716157,3.171428571,0.312899704,0.260093082,2.41311236,5.771428571,5,6,0.414285714,1
242,0.100207039,6.914285714,0,(484+0j),(6.48372501136+0j),70,(8.27333574488+0j),0.483471074,3.342857143,0.332257178,0.301345638,2.067478048,5.257142857,5,6,0.342857143,1
238,0.098550725,6.8,0.014285714,(476+0j),(6.56301559631+0j),70,(8.26517584019+0j),0.462184874,3.142857143,0.321460866,0.276224411,1.45771093,5.642857143,5,6,0.442857143,1
233,0.096480331,6.657142857,0.028571429,(466+0j),(6.56057749664+0j),70,(8.15654690924+0j),0.497854077,3.314285714,0.312214978,0.259195011,1.933683349,5.7,5,6,0.428571429,1
232,0.096066253,6.628571429,0.014285714,(464+0j),(6.40655538305+0j),70,(7.52284552553+0j),0.50862069,3.371428571,0.317764121,0.278509586,1.75337769,5.771428571,5,6,0.442857143,1
237,0.098136646,6.771428571,0,(474+0j),(6.66251870062+0j),70,(8.11913969993+0j),0.497890295,3.371428571,0.312828292,0.2780973,1.581150101,5.671428571,5,7,0.157142857,1
240,0.099378882,6.857142857,0.014285714,(480+0j),(6.69903265241+0j),70,(7.97195588717+0j),0.4875,3.342857143,0.326071722,0.280824572,2.247101155,5.614285714,5,6,0.414285714,1
