@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,5805,0,5805,0,1,1,0.5,1,0.5,0.666667,1,1,0
1,5805,0,5529,276,0.952455,1,0.512176,1,0.487824,0.677402,0.976227,1.024352,0
2,5805,0,5528,277,0.952283,1,0.512221,1,0.487779,0.677442,0.976141,1.024442,0
3,5805,0,5527,278,0.95211,1,0.512266,1,0.487734,0.677481,0.976055,1.024532,0
4,5805,0,5526,279,0.951938,1,0.512311,1,0.487689,0.677521,0.975969,1.024623,0
5,5805,0,5525,280,0.951766,1,0.512357,1,0.487643,0.677561,0.975883,1.024713,0
6,5805,0,5524,281,0.951593,1,0.512402,1,0.487598,0.6776,0.975797,1.024804,0
7,5805,0,5523,282,0.951421,1,0.512447,1,0.487553,0.67764,0.975711,1.024894,0
8,5805,0,5522,283,0.951249,1,0.512492,1,0.487508,0.677679,0.975624,1.024985,0
9,5805,0,5521,284,0.951077,1,0.512538,1,0.487462,0.677719,0.975538,1.025075,0
10,5805,0,5520,285,0.950904,1,0.512583,1,0.487417,0.677758,0.975452,1.025166,0
11,5805,0,5519,286,0.950732,1,0.512628,1,0.487372,0.677798,0.975366,1.025256,0
12,5805,0,5518,287,0.95056,1,0.512673,1,0.487327,0.677837,0.97528,1.025347,0
13,5805,0,5517,288,0.950388,1,0.512719,1,0.487281,0.677877,0.975194,1.025437,0
14,5805,0,5516,289,0.950215,1,0.512764,1,0.487236,0.677917,0.975108,1.025528,0
15,5805,0,5515,290,0.950043,1,0.512809,1,0.487191,0.677956,0.975022,1.025618,0
16,5805,0,5514,291,0.949871,1,0.512854,1,0.487146,0.677996,0.974935,1.025709,0
17,5805,0,5513,292,0.949699,1,0.5129,1,0.4871,0.678035,0.974849,1.0258,0
18,5805,0,5512,293,0.949526,1,0.512945,1,0.487055,0.678075,0.974763,1.02589,0
19,5805,0,5511,294,0.949354,1,0.51299,1,0.48701,0.678115,0.974677,1.025981,0
20,5805,0,5510,295,0.949182,1,0.513036,1,0.486964,0.678154,0.974591,1.026072,0
21,5805,0,5509,296,0.949009,1,0.513081,1,0.486919,0.678194,0.974505,1.026162,0
22,5805,0,5508,297,0.948837,1,0.513126,1,0.486874,0.678233,0.974419,1.026253,0
23,5805,0,5507,298,0.948665,1,0.513172,1,0.486828,0.678273,0.974332,1.026344,0
24,5805,0,5506,299,0.948493,1,0.513217,1,0.486783,0.678313,0.974246,1.026434,0
25,5805,0,5505,300,0.94832,1,0.513263,1,0.486737,0.678352,0.97416,1.026525,0
26,5805,0,5504,301,0.948148,1,0.513308,1,0.486692,0.678392,0.974074,1.026616,0
27,5805,0,5503,302,0.947976,1,0.513353,1,0.486647,0.678432,0.973988,1.026707,0
28,5805,0,5502,303,0.947804,1,0.513399,1,0.486601,0.678471,0.973902,1.026798,0
29,5805,0,5501,304,0.947631,1,0.513444,1,0.486556,0.678511,0.973816,1.026888,0
30,5805,0,5500,305,0.947459,1,0.51349,1,0.48651,0.678551,0.97373,1.026979,0
31,5805,0,5499,306,0.947287,1,0.513535,1,0.486465,0.67859,0.973643,1.02707,0
32,5805,0,5498,307,0.947115,1,0.51358,1,0.48642,0.67863,0.973557,1.027161,0
33,5805,0,5497,308,0.946942,1,0.513626,1,0.486374,0.67867,0.973471,1.027252,0
34,5805,0,5496,309,0.94677,1,0.513671,1,0.486329,0.678709,0.973385,1.027343,0
35,5805,0,5495,310,0.946598,1,0.513717,1,0.486283,0.678749,0.973299,1.027434,0
36,5805,0,5494,311,0.946425,1,0.513762,1,0.486238,0.678789,0.973213,1.027525,0
37,5805,0,5493,312,0.946253,1,0.513808,1,0.486192,0.678828,0.973127,1.027616,0
38,5805,0,5492,313,0.946081,1,0.513853,1,0.486147,0.678868,0.97304,1.027706,0
39,5805,0,5491,314,0.945909,1,0.513899,1,0.486101,0.678908,0.972954,1.027797,0
