energy,second_eigen,unique_eigen,spectral_rad,link_impurity,neighborhood_impurity,avg_closeness,avg_clustering,small_worldness,near_native
4900,1.940070596,70,1.946301452,1,3,0.220920683,0.094047619,6.559691667,1
4900,1.940069663,70,1.947317569,1,3.028571429,0.221805625,0.10670068,5.332955043,1
4900,1.939691188,70,1.953755807,1,3.142857143,0.224224307,0.097176871,3.615324959,1
4900,1.94627335,70,1.946322302,1,2.914285714,0.218418383,0.072142857,2.512587334,1
4489,1.939697761,67,1.94891827,1,2.914285714,0.199576172,0.107482993,6.187017737,1
4900,1.939696661,70,1.942898135,1,3.171428571,0.22549323,0.087380952,1.665190938,1
4900,1.939712034,70,1.946332665,1,2.942857143,0.214646212,0.09377551,4.614004162,1
24131.57143,5.97447E-06,1.285714286,1.10804E-05,0,0.01111759,7.81074E-05,0.000145786,3.402851583,variance
155.3433984,0.002444273,1.133893419,0.003328717,0,0.105439982,0.008837839,0.012074205,1.844681973,stdev
(3721+0j),(1.90572975278+0j),62,(2+0j),1,2.857142857,0.174359474,0.096507937,3.962741683,0
4900,1.948529493,70,1.951333115,1,3.142857143,0.212056208,0.087619048,3.371418143,0
4356,1.954168571,67,2,1,2.542857143,0.172677396,0.096836735,5.029449037,0
4489,1.936239816,68,2,1,3,0.188272177,0.072142857,2.676657847,0
4624,1.934327959,68,1.937553821,1,3.2,0.23425695,0.110657596,4.960651674,0
(4096+0j),(2+0j),65,(2+0j),1,2.371428571,0.134994767,0.086870748,3.127000456,0
4489,1.859830897,68,2,1,3.685714286,0.225771842,0.12744898,2.806951491,0
4489,1.913658377,68,1.961604337,1,3.4,0.223167907,0.184938157,15.13779847,0
4624,2,69,2,1,2.6,0.149411959,0.1,2.155166164,0
4624,2,69,2,1,2.914285714,0.184734122,0.11053288,3.359024408,0
4225,1.89704605,66,2,1,2.942857143,0.186709473,0.144863946,12.14861587,0
4761,1.913113918,70,2,1,3.314285714,0.215449613,0.138253968,3.194490879,0
4900,1.864971843,70,2,1,3.457142857,0.245882721,0.145294785,6.215730901,0
4761,1.939631168,70,1.957950145,1,3.085714286,0.212001103,0.118163265,3.377528455,0
4761,1.874825822,70,1.925503008,1,3.371428571,0.238580931,0.103117914,2.847380816,0
4489,2,66,2,1,2.742857143,0.163365844,0.108390023,0,0
4761,1.906304216,70,1.936038168,1,3.142857143,0.227381785,0.105918367,2.930788865,0
4761,1.857465776,70,2,1,3.2,0.234516361,0.139829932,3.654805008,0
4900,1.881877976,70,2,1,3.285714286,0.205163023,0.134013605,5.601103104,0
4900,1.845493198,70,1.889002305,1,3.857142857,0.250090341,0.163038549,4.434273741,0
4624,1.939597718,69,2,1,3.057142857,0.201062477,0.127006803,3.676715934,0
4624,2,69,2,1,3.028571429,0.173030026,0.141904762,8.357696369,0
4900,1.894794443,70,2,1,3.114285714,0.182645898,0.13414966,8.985724911,0
4225,1.936903629,66,2,1,2.685714286,0.163104664,0.101496599,4.210966068,0
4761,2,70,2,1,3.142857143,0.211154578,0.149104308,5.514229338,0
4356,1.990115978,66,2,1,2.657142857,0.135136384,0.075510204,2.961394969,0
4900,1.940064307,70,1.941298031,1,3.342857143,0.22864333,0.138276644,4.291378626,0
(4624+0j),(1.89000782688+0j),69,(2+0j),1,2.971428571,0.177392018,0.086326531,2.644046152,0
4761,2,70,2,1,2.857142857,0.17922984,0.133605442,4.072329636,0
(4624+0j),(2+0j),69,(2+0j),1,2.857142857,0.181096005,0.094965986,2.187062815,0
4096,1.874765773,65,2,1,2.914285714,0.184445529,0.143117914,13.34513402,0
4356,1.948674159,67,2,1,2.885714286,0.176869007,0.104489796,5.706530404,0
(4356+0j),(2+0j),67,(2+0j),1,3.285714286,0.203374121,0.135192744,3.04653017,0
(4761+0j),(2+0j),68,(2+0j),1,2.657142857,0.174803584,0.074965986,2.786458333,0
4761,1.914246607,70,1.956862817,1,3.257142857,0.21524332,0.17244898,6.403237448,0
4900,1.879216339,70,1.896783898,1,3.828571429,0.26592204,0.162006803,4.292887079,0
4096,1.952522393,65,2,1,2.685714286,0.163898465,0.10170068,8.503975278,0
4225,1.884881588,66,1.900003649,1,3.057142857,0.201722818,0.181530612,46.93458676,0
4489,2,68,2,1,3.057142857,0.196560863,0.097891156,5.763744145,0
4489,1.845318229,68,2,1,3.114285714,0.194002639,0.156439909,6.853754148,0
3969,2,62,2,1,2.314285714,0.132072273,0.071768707,7.100962363,0
(4096+0j),(2+0j),64,(2+0j),1,2.371428571,0.100473248,0.071904762,3.931229456,0
4225,2,65,2,1,3.142857143,0.17966044,0.076734694,9.671795,0
(4624+0j),(2+0j),69,(2+0j),1,3.085714286,0.180762649,0.086598639,2.112677786,0
